station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Crouch Hill,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,7,6,2,0,0,0,0,0,21,0,4,0,19,2,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,3,0,0,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,1,0,0,389
Croxley,0,0,4,7,0,0,2,1,0,8,2,0,0,15,0,41,8,4,0,4,0,0,0,0,0,0,0,9,0,0,18,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,6,13,28,9,0,0,1,0,0,3,2,13,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,8,0,6,0,0,9,0,0,0,0,9,0,19,0,5,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,8,20,0,0,5,0,0,0,0,0,15,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,19,0,0,17,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,24,3,7,3,2,0,0,2,9,0,0,0,0,0,0,34,20,0,0,0,0,0,0,7,0,0,5,4,0,16,17,0,0,0,2,0,0,0,0,0,5,2,0,0,0,6,13,6,0,6,0,12,0,0,31,17,3,3,0,0,0,12,6,3,0,0,0,2,0,0,0,3,0,1,0,0,2,0,0,0,0,10,0,0,0,0,0,0,1,0,0,6,0,8,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,11,6,11,0,0,0,0,2,0,0,0,27,0,0,0,0,0,4,0,7,0,0,0,4,16,3,0,0,0,0,0,0,0,0,0,0,0,0,7,12,23,5,0,0,0,0,0,14,0,17,38,0,0,2,13,0,6,0,0,4,9,0,0,0,0,0,0,0,13,6,0,12,2,5,5,0,2,2,0,0,0,0,0,1040
Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,9,0,0,0,0,0,0,0,23,0,39,0,347,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,19,23,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,25,38,0,0,0,0,39,0,0,0,0,0,0,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,133,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,32,0,0,0,0,0,0,0,0,0,1935
Custom House,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,3,2,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,4,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,46,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,104,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,788
Cutty Sark,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,3,1,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,8,0,5,0,0,0,0,0,0,57,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24,0,0,60,0,0,0,0,32,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,166,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,10,0,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2123
Cyprus,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,9,10,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,73,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,497
Dagenham East,0,0,3,0,15,0,1,0,0,13,0,1,1,17,5,81,15,51,0,4,0,0,0,16,4,7,11,16,0,0,23,6,0,0,0,5,0,0,7,0,6,0,0,0,1,1,0,0,3,0,0,0,9,30,79,35,9,0,0,0,0,0,3,21,11,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,76,0,0,2,0,0,0,1,4,0,8,2,2,13,0,3,0,0,9,0,10,13,0,14,0,0,1,20,11,0,32,0,5,0,10,0,0,5,0,2,0,7,3,0,10,0,0,0,10,28,1,0,5,0,0,0,0,0,15,3,0,2,0,0,0,0,3,0,1,0,1,0,2,2,0,1,7,0,0,0,0,27,3,3,0,0,10,1,1,1,0,4,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,36,1,9,3,0,3,0,0,12,0,5,0,5,0,0,70,37,0,0,1,2,0,0,13,9,0,6,11,0,0,34,2,5,0,1,0,0,0,4,0,15,0,0,1,1,2,0,0,0,7,1,23,0,5,42,20,2,4,0,0,0,17,8,0,6,0,0,0,0,0,3,3,0,1,3,3,0,0,0,5,5,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,10,0,0,0,10,2,0,0,0,0,16,0,0,0,0,2,2,0,0,0,15,0,17,6,20,1,0,1,0,6,3,0,1,95,0,0,0,0,0,4,0,11,0,0,2,5,23,8,0,0,15,0,0,0,0,12,9,9,0,9,3,17,32,11,0,0,0,0,0,20,0,28,1,0,0,2,6,0,7,0,0,19,0,0,0,2,0,0,2,0,19,7,0,30,1,5,5,0,4,2,0,2,0,0,0,1926
Dagenham Heathway,0,0,4,0,26,0,0,0,0,21,6,2,2,28,8,136,25,105,1,6,0,0,0,53,6,11,19,28,0,0,38,11,0,2,0,8,1,0,11,0,11,0,0,0,1,2,0,0,6,0,0,0,15,50,135,62,15,0,1,0,0,0,4,35,18,0,0,0,0,0,0,6,0,0,4,4,0,1,4,2,12,0,0,0,0,0,0,0,79,0,0,0,3,0,0,0,2,7,0,13,3,3,25,0,4,0,2,15,0,17,12,0,24,0,0,1,34,19,0,54,4,8,0,17,0,0,9,0,3,0,11,5,0,16,0,0,0,16,46,2,0,8,0,0,0,0,1,25,5,0,3,4,0,0,0,5,0,2,0,1,1,3,4,0,2,11,0,52,3,0,45,5,6,0,0,12,1,2,1,0,7,0,0,0,0,4,0,0,0,9,0,0,2,5,0,2,0,60,0,15,5,5,5,0,3,21,0,8,0,9,0,0,118,61,0,0,2,3,5,0,22,14,0,10,19,2,0,57,3,8,0,2,0,0,0,6,0,26,0,0,2,1,3,0,1,0,11,1,39,0,8,69,33,0,6,0,0,1,29,13,0,10,0,0,0,0,0,5,5,0,1,5,4,0,0,1,9,8,0,0,0,0,0,3,0,0,0,0,14,0,29,0,0,17,0,0,0,17,3,0,0,0,0,26,0,0,0,0,0,4,0,3,2,25,0,28,9,33,2,0,2,0,10,5,0,0,167,0,0,0,0,0,6,0,18,0,0,3,9,38,13,1,0,26,2,0,3,3,15,11,20,0,17,5,28,54,19,0,0,3,0,0,34,4,46,0,0,0,3,9,1,11,0,0,33,12,0,0,4,0,0,4,0,32,11,0,52,2,8,9,2,6,0,0,3,0,2,0,3366
Dalston Junction,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,79,0,88,0,221,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,22,84,0,0,302,0,0,0,40,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,907,0,0,0,0,0,0,5,0,0,0,0,209,0,0,0,15,0,0,0,13,17,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,19,0,0,0,10,0,0,0,0,0,0,0,0,0,145,0,58,0,300,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,405,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,27,0,0,0,0,0,0,0,0,0,38,10,0,0,54,0,0,0,0,0,0,0,0,0,0,375,0,27,0,0,0,0,0,0,0,0,0,3915
Dalston Kingsland,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,8,0,0,0,0,1,0,61,0,67,0,110,0,0,0,108,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,16,220,0,39,0,0,0,0,30,0,9,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,726,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,11,0,0,4,10,13,0,21,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,82,65,0,43,0,100,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,469,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,6,0,0,28,6,0,0,40,0,0,0,0,0,0,0,0,0,7,151,0,20,0,0,0,0,4,0,0,0,0,2888
Debden,0,0,3,13,14,0,0,0,0,12,3,0,1,16,0,74,14,12,2,4,0,0,0,1,4,6,10,15,0,0,21,6,0,2,0,4,0,0,7,0,5,0,0,0,6,0,0,0,3,0,0,0,9,26,67,27,0,0,0,0,0,0,0,19,10,0,0,2,0,0,0,3,0,0,2,0,0,0,2,0,7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,7,2,2,5,0,2,0,1,9,0,10,1,0,13,0,0,7,19,11,1,30,0,5,0,10,0,0,5,0,3,0,6,0,0,9,0,0,1,9,26,0,0,5,0,0,0,0,2,15,3,0,2,2,0,0,0,3,0,0,0,0,0,0,2,0,1,6,0,0,0,0,25,3,3,0,0,1,1,1,0,0,4,0,0,0,0,2,0,0,0,5,0,0,1,3,0,1,0,34,0,9,0,3,3,0,0,12,0,7,0,10,0,0,64,34,0,0,31,0,3,0,0,8,0,6,10,0,0,31,2,5,0,1,0,0,3,4,0,12,0,0,0,1,0,0,0,0,7,0,21,0,4,39,19,0,0,0,0,0,16,7,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,1,5,5,0,1,0,0,0,0,0,0,0,0,8,0,13,0,0,10,0,0,0,10,4,0,1,0,0,15,0,0,0,0,0,7,0,0,1,14,0,16,5,18,0,0,1,0,5,3,0,0,93,0,0,0,0,0,4,0,10,0,4,2,5,21,0,0,0,14,0,0,0,0,0,0,1,0,5,0,16,31,0,0,0,3,0,0,19,2,26,0,0,0,0,6,0,7,0,0,14,0,0,0,0,0,0,0,0,18,6,0,27,0,0,5,0,3,0,0,9,0,0,0,1634
Denmark Hill,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,16,0,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,15,7,0,0,0,0,27,0,0,0,31,0,0,0,10,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,13,66,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,110,0,67,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,37,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,29,0,0,0,0,0,0,8,0,0,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,25,0,0,0,0,0,0,0,0,0,1841
Deptford Bridge,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,9,150,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,213,0,0,0,0,36,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,207,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,11,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487
