station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Abbey Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,261,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,601
Acton Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,2,0,9,0,19,0,40,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,62,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,172,8,0,4,5,0,0,0,20,0,35,0,3,8,0,1,0,2,0,0,0,0,0,0,0,1,65,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,13,27,0,0,8,6,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,107,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,74,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,2,39,0,103,0,0,0,0,0,0,1,0,0,1220
Acton Town,0,0,0,16,16,0,11,0,0,17,5,2,1,38,8,102,18,8,0,29,4,0,0,1,6,8,9,24,5,0,49,9,19,2,0,3,0,0,12,0,3,0,0,0,0,1,0,0,5,0,0,0,15,31,59,18,12,0,1,0,0,1,4,33,21,0,0,0,0,93,1,6,0,0,4,4,0,1,3,2,14,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,3,99,82,40,12,3,3,0,9,2,1,23,0,16,0,0,27,0,0,0,36,21,0,40,4,10,0,12,0,0,22,0,1,0,29,4,6,18,0,0,0,20,66,5,0,63,0,0,0,0,0,147,5,0,0,0,0,0,0,9,0,6,0,3,3,8,4,0,0,28,0,38,2,1,47,11,5,0,0,0,6,8,3,0,11,1,0,0,0,4,0,0,0,9,0,0,10,7,0,0,0,57,2,27,15,5,9,0,10,25,0,3,0,3,0,0,79,52,0,0,0,0,3,0,18,20,0,15,7,1,0,39,3,9,0,0,0,0,1,26,18,10,0,0,26,3,5,2,2,0,25,1,27,7,7,88,58,34,15,0,0,3,36,18,1,2,0,0,2,0,0,12,0,0,1,0,33,3,0,0,11,30,2,0,0,0,0,6,0,1,0,2,14,0,14,0,0,38,6,0,0,32,0,0,27,0,3,60,0,0,1,0,0,1,0,6,2,25,0,37,11,28,22,0,0,0,4,6,0,0,49,0,0,3,3,0,8,0,18,0,0,3,8,43,5,1,0,17,2,0,48,2,1,0,1,0,3,8,37,81,7,0,0,0,0,0,38,0,50,2,0,0,0,11,10,33,0,0,8,17,1,0,14,0,0,9,0,39,26,0,27,3,0,14,3,4,14,0,1,0,2,0,3742
Aldgate,0,0,1,0,55,0,0,0,0,19,2,1,1,15,3,320,45,4,0,2,1,0,0,0,3,7,15,34,2,0,21,12,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,8,25,43,11,29,0,0,0,0,0,2,33,13,0,0,0,0,0,0,2,0,0,2,2,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1,1,2,0,1,0,0,7,0,16,0,0,19,0,0,0,22,12,0,77,1,3,0,6,0,0,3,0,0,0,4,1,0,10,0,0,0,9,26,1,0,2,0,0,0,0,0,8,2,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,4,0,22,1,0,37,2,3,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,4,0,0,0,2,0,1,0,47,0,7,2,4,2,0,1,14,0,2,0,2,0,0,594,87,0,0,0,1,2,0,36,7,0,5,8,0,0,169,1,5,0,1,0,0,0,2,0,6,0,0,0,0,1,0,0,0,4,0,63,0,5,41,14,0,2,0,0,0,19,6,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,10,0,7,0,0,6,0,0,0,8,1,0,0,0,0,11,0,0,0,0,1,1,0,1,1,24,0,17,4,48,1,0,0,0,6,3,0,1,36,0,0,0,0,0,2,0,17,0,0,1,3,26,2,0,0,160,1,0,1,1,0,0,0,0,2,1,12,30,4,0,0,0,0,0,20,1,38,0,0,0,1,2,0,4,0,0,6,4,0,0,1,0,0,1,0,22,3,0,55,1,2,2,0,2,1,0,1,0,0,0,2876
Aldgate East,0,0,1,65,0,0,0,0,0,21,3,1,1,17,3,318,47,5,0,3,1,0,0,0,3,8,16,36,2,0,24,13,1,1,0,5,1,0,6,0,5,0,0,0,0,0,0,0,4,0,0,0,9,43,68,16,30,0,0,0,0,0,2,37,14,0,0,0,0,1,0,3,0,0,2,2,0,0,1,1,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,6,1,1,3,0,1,0,0,8,0,17,0,0,21,0,0,0,25,14,0,82,1,3,0,7,0,0,3,0,1,0,5,2,0,11,0,0,0,11,30,1,0,3,0,0,0,0,0,9,2,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,5,0,25,1,0,41,2,3,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,2,5,0,0,1,2,0,1,0,53,1,8,2,4,3,0,1,16,0,2,0,2,0,0,504,92,0,0,0,1,2,0,38,8,0,6,15,1,0,161,1,6,0,1,0,0,0,2,0,9,0,0,1,0,1,0,0,0,5,0,66,0,5,47,16,1,2,0,0,0,21,7,0,2,0,0,0,0,0,2,2,0,0,2,2,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,11,0,8,0,0,7,1,0,0,10,1,0,0,0,0,13,0,0,0,0,1,1,0,1,1,27,0,20,4,51,1,0,0,0,14,3,0,1,56,0,0,0,0,0,3,0,19,0,0,1,3,30,3,0,0,128,1,0,1,1,1,0,1,0,3,1,14,34,4,0,0,1,0,0,23,2,42,0,0,0,1,3,0,5,0,0,9,5,0,0,1,0,0,2,0,25,4,0,194,1,3,3,0,2,1,0,1,0,1,0,3166
All Saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,4,1,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,3,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,741
Alperton,0,0,19,0,9,0,0,0,0,10,0,1,1,20,0,57,10,5,0,10,2,0,0,0,0,4,0,13,3,0,25,0,5,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,8,18,35,11,7,0,0,0,0,1,0,18,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,16,0,0,2,0,4,3,0,12,0,9,0,0,14,0,0,0,19,0,0,23,0,6,0,7,0,0,10,0,0,0,12,0,2,9,0,0,0,0,33,0,0,18,0,0,0,0,0,46,0,0,0,0,0,0,0,12,0,3,0,2,2,4,0,0,1,12,0,22,0,1,25,0,3,0,0,0,3,3,2,0,5,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,31,0,13,6,3,0,0,4,13,0,2,0,2,0,0,45,28,0,0,0,0,2,0,10,0,0,0,4,0,0,22,2,5,0,0,0,0,1,0,8,6,0,0,6,0,7,3,2,0,11,1,15,2,0,45,28,45,7,0,0,0,19,9,1,0,0,0,0,0,0,6,0,0,0,0,9,4,0,0,0,13,2,0,0,0,0,3,0,2,0,2,8,0,8,0,0,0,2,0,0,15,0,0,5,0,5,27,0,0,0,0,0,0,0,3,1,13,0,19,0,15,5,0,0,0,3,3,0,0,30,0,0,6,12,0,0,0,10,0,0,2,5,23,3,0,0,10,0,0,9,1,0,0,0,0,2,9,20,40,4,0,0,0,0,0,20,0,26,2,0,0,0,0,0,14,0,0,5,0,1,0,5,0,0,4,0,20,0,0,16,0,0,8,1,2,6,0,0,0,0,0,1626
Amersham,0,0,4,8,8,0,2,0,0,9,3,0,1,15,0,46,9,5,0,4,0,0,0,0,0,4,5,10,0,0,19,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,15,32,11,5,0,1,0,0,21,2,14,8,3,0,0,0,3,11,3,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,7,0,0,0,0,0,1,0,8,0,7,0,0,10,0,0,0,0,9,0,20,0,6,0,7,0,0,5,0,0,0,6,0,1,0,0,0,0,8,22,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,21,0,1,19,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,4,0,0,1,4,0,0,0,26,3,7,3,2,0,0,2,9,0,0,0,0,0,0,38,22,0,0,0,2,2,0,8,7,0,6,4,0,4,19,0,0,0,2,0,0,0,4,0,6,1,0,0,0,5,5,3,0,6,0,14,1,3,34,18,3,3,0,0,0,13,6,2,0,0,0,2,0,0,3,3,0,1,0,0,2,0,0,5,0,8,0,0,0,0,0,0,1,0,1,6,0,9,0,0,10,1,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,12,6,12,0,0,2,0,0,0,0,0,32,0,0,1,1,0,4,0,7,0,0,0,4,17,0,0,0,8,0,0,0,0,0,0,0,0,2,7,14,25,5,0,0,0,0,0,16,2,19,4,0,0,0,11,0,6,0,0,5,9,1,0,0,0,0,2,0,14,7,0,14,2,6,5,0,3,2,0,0,0,0,0,1187
Anerley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11,0,101,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,7,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,38,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,644
Angel,0,0,2,36,34,0,1,0,0,0,7,1,2,56,5,241,47,6,0,5,2,0,0,1,8,9,15,36,4,0,61,14,1,2,0,3,1,0,8,0,4,0,0,0,0,1,0,0,13,0,0,0,32,33,60,17,25,0,1,0,0,0,7,65,27,0,0,0,0,2,0,4,0,0,3,3,0,0,3,1,24,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,4,1,10,2,3,3,0,2,0,1,23,0,19,0,0,33,0,0,0,123,64,0,106,3,8,0,20,0,0,6,0,1,0,10,4,1,36,0,0,0,42,65,1,0,4,0,0,0,0,0,17,6,0,2,3,0,0,0,2,0,1,0,0,1,1,3,0,1,9,0,82,2,0,108,5,10,0,0,0,1,1,0,0,9,0,0,0,0,4,1,0,0,14,0,0,1,4,0,2,0,397,1,17,5,5,6,0,3,37,0,2,0,2,0,0,228,86,0,0,1,3,5,0,34,20,0,18,9,1,0,138,1,22,0,1,0,0,1,4,0,9,0,1,1,1,2,1,0,0,11,1,167,1,7,127,44,1,4,0,0,1,46,12,0,2,0,0,1,0,0,3,5,0,1,5,3,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,49,0,15,0,0,14,1,0,0,16,1,0,1,0,0,25,0,0,0,0,1,1,0,2,1,29,0,30,12,47,1,0,1,0,7,4,0,1,51,0,0,0,0,0,7,0,21,0,0,2,4,71,5,0,0,32,3,0,2,3,1,0,1,0,3,2,23,59,6,0,0,1,0,0,95,4,51,1,0,0,2,5,1,9,0,0,8,11,0,0,3,0,0,4,0,37,8,0,47,2,6,4,1,4,3,0,1,0,1,0,4199
