station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Denmark Hill,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,14,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,13,6,0,0,0,0,25,0,0,0,29,0,0,0,8,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,11,79,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,107,0,58,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,29,0,0,0,0,0,0,6,0,0,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,21,0,0,0,0,0,0,0,0,0,1842
Deptford Bridge,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,8,181,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,263,0,0,0,0,32,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,169,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,10,0,0,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
Devons Road,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,119,0,0,6,0,0,0,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,8,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1387
Dollis Hill,0,0,4,12,12,0,0,0,0,17,4,1,1,47,5,76,16,5,0,5,0,0,0,1,0,5,7,18,5,0,46,0,1,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,5,0,0,0,13,20,39,12,9,0,3,0,0,1,0,27,16,0,0,0,0,0,1,3,0,0,2,2,0,0,0,1,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,11,3,0,2,0,3,1,0,22,0,11,0,0,20,0,0,0,31,23,0,38,0,35,0,12,0,0,7,0,1,0,9,0,1,15,0,0,0,23,48,2,0,10,0,0,0,0,0,21,0,0,0,0,0,0,2,14,0,0,0,0,1,2,0,0,0,10,0,43,2,1,38,5,4,0,0,0,1,1,0,0,7,1,0,0,0,3,0,0,6,7,0,0,2,48,0,0,0,59,8,14,6,4,5,0,0,20,0,2,0,2,0,0,63,36,0,0,0,3,3,0,13,16,0,16,5,0,1,33,2,0,0,108,0,0,1,0,0,6,1,0,1,0,12,2,2,0,12,0,24,0,5,81,44,0,5,0,0,0,29,11,1,2,0,0,6,0,0,4,0,0,3,5,4,2,0,0,13,7,1,0,0,0,0,3,0,1,0,1,13,0,12,0,0,20,1,0,0,15,0,0,0,0,2,23,0,0,0,0,2,0,0,2,1,18,0,22,25,21,0,0,4,0,3,3,0,0,39,0,0,1,0,0,23,0,14,0,0,2,5,38,5,0,0,12,0,0,3,2,0,0,1,0,2,5,22,49,7,0,0,0,0,0,34,4,35,1,0,0,0,78,0,10,0,0,6,69,1,0,3,0,0,4,0,26,11,0,20,63,18,6,1,3,4,0,1,0,0,0,2541
Ealing Broadway,0,0,307,52,52,0,47,1,0,62,19,5,4,132,26,342,62,24,2,84,17,0,0,3,21,25,31,79,16,0,191,29,47,6,0,9,4,0,38,0,11,0,0,0,1,4,0,0,18,0,0,0,54,99,190,60,39,0,5,0,0,0,15,115,67,1,0,0,0,133,0,19,0,0,14,14,0,2,12,7,46,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,9,0,314,122,104,10,11,0,28,8,5,81,0,52,1,0,87,0,0,2,129,72,1,142,12,33,0,43,0,0,70,0,3,0,89,14,17,63,0,0,1,67,211,30,0,162,0,0,0,0,2,400,18,0,74,0,0,0,11,36,0,18,0,20,10,48,12,0,5,90,0,133,8,5,161,54,17,0,0,2,19,24,10,0,36,5,0,0,0,14,10,0,0,30,0,0,29,21,0,0,0,202,9,85,46,17,36,0,30,81,0,9,0,10,0,0,264,167,0,0,3,0,11,0,58,80,0,52,24,5,0,132,9,31,0,8,0,0,3,277,0,31,0,0,58,16,21,0,0,0,104,3,92,19,23,320,201,150,46,0,0,21,118,57,0,7,0,0,6,0,0,38,0,0,4,42,84,10,0,2,40,91,0,0,0,0,0,18,0,5,4,7,49,0,48,0,0,211,17,0,0,100,3,0,54,0,12,186,0,0,6,0,9,4,0,18,5,81,0,118,39,94,50,0,7,0,15,18,0,0,161,0,0,12,13,0,26,0,59,0,1,10,26,154,19,2,0,57,7,0,98,8,4,2,3,0,9,29,120,258,23,0,0,3,0,0,139,0,160,6,0,0,0,41,185,102,0,1,27,54,3,0,41,4,0,29,0,126,184,0,89,10,0,47,9,14,43,0,4,0,5,0,12847
Ealing Common,0,0,139,7,7,0,9,0,0,8,2,1,1,18,4,47,8,3,0,14,2,0,0,0,3,4,4,11,2,0,23,4,9,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,0,0,0,7,14,26,8,6,0,1,0,0,0,2,16,10,0,0,0,0,34,0,3,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,20,9,0,1,0,4,1,0,11,0,7,0,0,13,0,0,0,17,10,0,18,2,5,0,6,0,0,11,0,0,0,14,0,3,8,0,0,0,9,32,3,0,30,0,0,0,0,0,72,2,0,0,0,0,0,0,5,0,3,0,1,1,4,0,0,0,14,0,17,0,1,22,5,2,0,0,0,3,4,2,0,5,1,0,0,0,2,0,0,0,4,0,0,5,3,0,2,0,26,1,13,7,2,0,0,5,12,0,1,0,0,0,0,36,24,0,0,0,2,1,0,8,10,0,7,3,0,1,18,0,4,0,0,0,0,0,21,38,4,0,0,12,2,3,1,1,0,12,0,12,3,3,42,28,42,7,0,0,0,17,8,0,1,0,0,1,0,0,6,0,0,1,0,16,2,0,0,5,15,1,0,0,0,0,3,0,1,0,1,7,0,6,0,0,21,0,0,0,15,0,0,12,0,2,29,0,0,0,0,0,0,0,3,1,12,0,18,5,13,10,0,1,0,2,3,0,0,22,0,0,2,2,0,4,0,9,0,0,1,4,20,2,0,0,8,0,0,21,1,0,0,0,0,1,4,18,39,3,0,0,0,0,0,18,0,23,1,0,0,0,6,9,16,0,0,4,0,1,0,7,0,0,5,0,19,17,0,12,0,0,7,1,2,7,0,0,0,0,0,2001
Earl's Court,0,0,14,22,21,0,3,0,0,26,7,1,2,64,10,159,24,7,0,144,17,0,0,1,8,11,12,42,5,0,110,14,4,2,0,3,1,0,18,0,4,0,0,0,0,1,0,0,7,0,0,0,24,41,69,19,19,0,1,0,0,0,6,61,45,0,0,0,0,14,1,9,0,0,7,6,0,0,3,2,30,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,17,6,0,13,3,3,0,24,1,1,44,0,27,0,0,55,0,0,0,65,30,0,58,4,11,0,16,0,0,188,0,1,0,444,5,9,33,0,0,0,30,183,3,0,30,0,0,0,0,0,307,6,0,7,10,0,0,3,4,0,2,0,1,1,3,4,0,1,281,0,52,3,1,91,43,6,0,0,0,2,3,1,0,38,1,0,0,0,7,4,0,113,12,0,2,5,6,0,6,0,94,2,108,18,10,28,0,13,56,0,3,0,3,0,0,115,86,0,0,1,8,4,0,29,49,0,26,8,1,0,58,3,15,0,2,0,0,1,18,2,10,0,2,5,2,3,1,1,0,132,1,37,2,11,202,124,7,79,0,0,2,87,40,1,2,0,0,1,0,0,45,11,0,1,41,36,1,0,0,22,17,1,0,0,0,0,9,0,1,1,1,26,0,15,0,0,177,9,0,0,132,1,0,4,0,1,445,0,0,1,0,0,1,0,12,1,47,0,93,16,45,14,0,1,0,6,10,0,4,52,0,0,1,1,0,10,0,34,0,0,4,9,89,6,1,0,25,3,0,19,3,1,1,1,0,3,4,75,241,7,0,0,1,0,0,75,11,101,1,0,0,5,8,3,935,0,0,9,16,0,0,150,0,0,11,0,90,68,0,35,3,25,22,5,4,20,0,1,0,1,0,8408
East Acton,0,0,9,10,10,0,0,0,0,12,3,1,0,29,4,66,0,4,0,12,0,0,0,0,4,4,5,16,3,0,44,5,0,1,0,2,0,0,6,0,2,0,0,0,0,1,0,0,3,0,0,0,11,17,33,10,0,0,1,0,0,0,3,23,14,0,0,0,0,6,0,3,0,0,2,2,0,0,2,1,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,6,30,0,2,2,0,6,0,1,19,0,10,0,0,18,0,0,0,27,15,0,27,2,6,0,8,0,0,17,0,1,0,20,2,2,13,0,0,0,14,45,6,0,0,0,0,0,0,0,40,3,0,18,0,0,0,0,0,0,2,0,0,0,2,2,0,1,25,0,25,1,0,34,19,3,0,0,0,1,2,0,0,7,0,0,0,0,3,0,0,0,6,0,0,0,4,0,0,0,41,1,17,6,3,10,0,3,17,0,1,0,2,0,0,50,31,0,0,0,4,2,0,0,19,0,12,4,0,0,25,1,6,0,1,0,0,0,152,0,5,0,0,3,3,2,1,0,0,33,0,17,1,4,72,49,0,11,0,0,4,25,11,0,1,0,0,1,0,0,8,0,0,1,12,0,1,0,0,9,7,0,0,0,0,0,4,0,0,1,0,10,0,8,0,0,90,0,0,0,20,1,0,0,0,1,40,0,0,1,0,0,1,0,4,1,15,0,22,8,19,0,0,1,0,3,3,0,0,27,0,0,0,0,0,5,0,12,0,0,2,4,33,3,0,0,11,1,0,0,1,1,0,0,0,2,3,22,50,4,0,0,0,0,0,30,0,31,0,0,0,3,6,10,27,0,0,4,11,0,0,7,1,0,4,0,24,123,0,16,2,0,8,2,2,0,0,1,0,1,0,2360
East Finchley,0,0,6,35,35,0,0,0,0,52,84,0,3,71,11,216,49,13,0,12,0,0,0,1,24,14,20,47,10,0,106,16,3,0,0,6,4,0,17,0,7,0,0,0,0,3,0,0,15,0,0,0,78,52,105,32,24,0,0,0,0,0,19,75,42,0,0,0,0,5,0,8,0,0,6,6,0,0,9,3,30,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,11,0,25,6,0,6,0,7,0,3,34,0,29,0,0,54,0,0,0,127,0,0,116,122,16,0,32,0,0,16,0,2,0,23,13,2,51,0,0,0,44,120,3,0,12,0,0,0,0,1,45,18,0,5,7,0,0,0,6,0,2,0,0,2,3,10,0,12,23,0,105,100,0,108,11,13,0,0,0,2,2,1,0,17,0,0,0,0,8,3,0,0,66,0,0,3,9,0,0,0,185,0,35,10,10,13,0,6,54,0,5,0,5,0,0,185,94,0,0,0,6,8,0,34,38,0,25,15,28,1,97,4,38,0,0,0,0,1,10,0,16,0,0,3,2,4,2,0,0,25,0,72,2,13,203,72,4,11,0,0,2,72,26,1,4,0,0,2,0,0,9,12,0,0,12,7,1,0,1,0,11,1,0,0,0,0,6,0,0,0,0,39,0,31,0,0,34,2,0,0,37,2,0,2,0,0,57,0,0,0,0,4,2,0,5,3,46,0,57,20,59,4,0,0,0,9,8,0,3,96,0,0,1,0,0,13,0,36,0,0,4,11,106,12,8,0,35,21,0,6,5,2,0,0,0,5,5,55,122,14,0,0,2,0,0,118,7,94,0,0,0,0,13,0,22,0,7,16,0,0,0,7,0,0,7,0,68,20,0,58,4,15,13,2,9,7,0,2,0,24,0,5837
East Ham,0,0,6,0,69,0,2,0,0,44,10,4,3,52,14,319,58,408,2,10,3,0,0,15,11,25,54,60,0,0,71,23,0,4,0,32,2,0,20,0,52,0,0,0,2,2,0,0,11,0,0,0,28,120,396,258,35,0,2,0,0,0,8,73,35,0,0,1,0,5,0,10,0,0,7,7,0,1,6,4,25,0,0,0,0,0,0,0,12,22,0,0,4,0,0,0,3,10,3,21,5,5,0,0,6,1,2,26,0,36,4,0,49,0,0,2,66,37,2,121,6,13,0,33,0,0,14,0,6,0,19,7,2,31,0,0,1,31,88,3,0,12,0,0,0,0,2,40,9,0,4,6,0,0,3,6,0,2,0,1,2,4,6,0,3,18,0,113,4,0,92,9,10,0,0,5,2,2,1,0,13,0,0,0,0,9,2,0,8,15,0,0,3,8,0,4,0,122,3,27,8,10,9,0,5,41,0,26,0,24,0,0,288,137,0,0,4,5,8,0,50,26,0,19,66,3,0,135,5,16,0,3,0,0,4,9,0,86,1,1,3,2,4,2,1,0,19,2,87,2,15,132,57,4,9,0,0,2,56,23,1,85,0,0,2,0,0,8,9,0,1,9,7,1,0,3,17,10,2,0,0,0,0,5,0,0,0,0,28,0,42,0,0,27,2,0,0,31,7,0,2,0,1,46,0,0,1,0,5,8,0,4,4,53,0,54,16,74,3,0,2,0,32,9,0,3,698,0,0,0,1,0,11,0,39,0,1,5,13,75,19,1,0,63,4,0,5,6,8,6,28,0,315,5,49,101,28,0,0,6,0,0,64,6,95,2,0,0,4,13,2,19,0,1,199,19,0,0,6,0,0,6,0,63,17,0,147,4,12,12,2,10,6,0,6,0,3,0,7898
East India,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,2,1,0,0,0,0,0,0,129,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,8,4,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,25,0,0,6,0,0,0,0,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,133,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,15,0,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1764
East Putney,0,0,12,22,21,0,3,0,0,25,7,2,2,52,0,148,24,9,1,36,8,0,0,1,8,11,12,37,6,0,80,0,4,2,0,4,0,0,17,0,4,0,0,0,0,2,0,0,7,0,0,0,22,42,76,23,17,0,1,0,0,0,6,51,33,0,0,0,0,11,0,0,0,0,0,0,0,1,4,0,23,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,16,5,103,11,4,4,0,0,1,2,33,0,24,0,0,43,0,0,0,55,27,0,56,4,11,0,17,0,0,132,0,1,0,65,5,5,27,0,0,0,26,114,4,0,23,0,0,0,0,1,121,7,0,7,9,0,0,4,5,0,3,0,2,2,4,4,0,2,61,0,52,3,1,73,21,6,0,0,1,2,3,1,0,21,1,0,0,0,6,3,0,0,12,0,3,5,7,0,5,0,84,2,51,14,8,16,0,9,41,0,3,0,3,0,0,112,77,0,0,1,6,4,0,27,33,0,21,9,2,0,56,0,13,0,2,0,0,1,16,2,12,0,2,4,2,3,1,0,0,49,0,37,2,0,145,84,6,142,0,0,3,61,29,0,3,0,0,0,0,0,331,10,0,1,0,18,1,0,1,17,0,1,0,0,0,0,6,0,0,1,1,22,0,17,0,0,83,5,0,0,60,1,0,4,0,1,124,1,0,1,0,0,2,0,114,2,39,0,62,15,41,8,0,2,0,6,8,0,4,61,0,0,1,1,0,10,0,28,0,0,0,0,69,7,0,0,24,3,0,12,3,1,0,1,0,3,5,59,143,8,0,0,1,0,0,60,8,79,0,0,0,6,10,0,114,0,0,10,18,0,0,23,1,0,9,0,64,43,0,36,3,22,88,26,5,13,0,0,0,0,0,5445
Eastcote,0,0,12,13,13,0,10,1,0,15,4,0,0,31,0,77,16,7,0,10,0,0,0,0,0,0,8,18,6,0,36,0,4,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,12,23,47,16,9,0,4,0,0,2,0,25,14,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,21,7,16,0,0,3,0,5,0,0,16,0,11,0,0,18,0,0,0,0,18,0,36,0,13,0,12,0,0,10,0,0,0,13,0,0,0,0,0,0,16,40,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,71,0,3,0,2,2,5,0,0,0,13,0,38,2,12,34,0,4,0,0,0,3,3,2,0,6,15,0,0,0,3,0,0,0,7,0,0,3,10,0,0,0,49,8,14,6,4,0,0,4,17,0,3,0,0,0,0,64,36,0,0,0,0,3,0,13,13,0,11,6,0,0,32,2,7,0,7,0,0,0,0,4,8,5,0,5,0,32,8,6,0,12,0,24,2,0,64,35,13,7,0,0,0,24,10,5,0,0,0,7,0,0,6,0,0,4,5,8,54,0,0,0,13,4,0,0,0,0,3,0,37,0,100,11,0,14,0,0,0,2,0,0,16,0,0,4,0,19,27,0,0,0,0,0,0,0,3,0,17,0,21,13,21,4,0,5,0,0,4,0,0,47,0,0,9,5,0,10,0,13,0,0,2,6,31,6,0,0,13,0,0,7,2,0,0,0,0,0,51,23,44,8,0,0,0,0,0,29,4,33,4,0,0,0,45,0,14,0,0,7,21,9,0,5,0,0,4,0,24,0,0,22,6,12,9,2,4,5,0,0,0,0,0,2528
